,,Duplicate,Permno,Permco,,
NGVC,0,,,,,
NTI,1,1,,,,
PANW,0,,,,,
DWAS,0,,,,,
CROC,0,,,,,
CHUY,0,,,,,
DFRG,0,,,,,
DRTX,1,1,,,,
EOPN,0,,,,,
FIVE,0,,,,,
HTBI,0,,,,,
KYAK,0,,,,,
BTT,0,,,,,
GMED,0,,,,,
HCLP,0,,,,,
SAND,0,,,,,
MANU,0,,,,,
BLMN,0,,,,,
LVNTA,1,1,,,,
MDIV,0,,,,,
PFMT,0,,,,,
PSMI,0,,,,,
TDIV,0,,,,,
TTS,0,,,,,
ADT,0,,,,,
BXE,0,,,,,
BSMX,0,,,,,
HY,0,,,,,
FM,1,1,,,,
NBHC,0,,,,,
SMLP,0,,,,,
SUSP,0,,,,,
SUN,0,,,,,
PNR,0,,,,,
CBF,1,1,,,,
CMGE,0,,,,,
KRFT,1,1,,,,
LFVN,0,,,,,
QLYS,0,,,,,
BERY,0,,,,,
IXUS,0,,,,,
IEFA,0,,,,,
OLN,0,,,,,
IEMG,0,,,,,
JMI,0,,,,,
LGP,0,,,,,
CAPL,0,,,,,
LOCK,0,,,,,
MPLX,0,,,,,
SPHD,0,,,,,
PBYI,0,,,,,
RLGY,0,,,,,
SSTK,0,,,,,
WDAY,0,,,,,
ANFI,0,,,,,
FLTX,0,,,,,
SDLP,1,1,,,,
AMBA,0,,,,,
CNSI,0,,,,,
MESG,0,,,,,
CUNB,1,1,,,,
FANG,0,,,,,
ICPT,0,,,,,
KYTH,0,,,,,
LNCO,0,,,,,
LPTN,0,,,,,
MRCC,0,,,,,
RGLS,0,,,,,
SHOS,0,,,,,
XPLR,0,,,,,
ALDW,0,,,,,
DKL,0,,,,,
SILJ,0,,,,,
SNLN,1,1,,,,
RH,0,,,,,
PCG,0,,,,,
RKUS,1,1,,,,
SXE,0,,,,,
SCM,0,,,,,
YY,0,,,,,
NEO,0,,,,,
PLPM,0,,,,,
PRTA,0,,,,,
RDHL,0,,,,,
REMY,1,1,,,,
SCTY,0,,,,,
UIHC,0,,,,,
ABBV,0,,,,,
RESI,0,,,,,
PBF,0,,,,,
PHDG,0,,,,,
RIOM,1,1,,,,
SBY,0,,,,,
WGP,0,,,,,
BFAM,0,,,,,
CVRR,0,,,,,
ERA,0,,,,,
SXCP,0,,,,,
TPH,0,,,,,
USAC,0,,,,,
CONE,0,,,,,
FWONA,0,,,,,
NCLH,0,,,,,
STML,0,,,,,
AGI,0,,,,,
BCC,0,,,,,
FPE,0,,,,,
NSLP,0,,,,,
ORC,0,,,,,
AMSWA,0,,,,,
FORX,0,,,,,
SBGL,0,,,,,
ZTS,0,,,,,
AFH,0,,,,,
HIIQ,0,,,,,
IMMY,0,,,,,
ORMP,0,,,,,
XONE,0,,,,,
XOOM,0,,,,,
APAM,1,1,,,,
AVIV,0,,,,,
OAKS,1,1,,,,
MRIN,0,,,,,
MODN,0,,,,,
PF,0,,,,,
SSNI,0,,,,,
VET,0,,,,,
BPY,0,,,,,
ENTA,0,,,,,
GARS,0,,,,,
TTPH,0,,,,,
WSTC,0,,,,,
CST,0,,,,,
BRZU,0,,,,,
DSL,0,,,,,
DMB,0,,,,,
EVTC,0,,,,,
HASI,0,,,,,
MTUM,0,,,,,
PEP,0,,,,,
RALY,0,,,,,
SEAS,0,,,,,
TAM,0,,,,,
TMHC,0,,,,,
TXMD,0,,,,,
I,0,,,,,
KNOP,0,,,,,
CMRX,0,,,,,
FWM,0,,,,,
HAWK,0,,,,,
IBTX,0,,,,,
MDXG,0,,,,,
OVAS,0,,,,,
ARPI,0,,,,,
AHH,0,,,,,
CSG,0,,,,,
ECOM,0,,,,,
CYNI,1,1,,,,
BRZS,0,,,,,
EMES,0,,,,,
FCSC,0,,,,,
MO,0,,,,,
BRSS,0,,,,,
VOYA,0,,,,,
WLH,0,,,,,
NRZ,0,,,,,
PFSI,0,,,,,
PGEM,0,,,,,
Q,0,,,,,
IQV,0,,,,,
